pc,type,mispredicts,total,misPermil,dirMiss,tgtMiss,noPredMiss
f497e,4,0,96,0,0,0,0
dc220,0,0,4,0,0,0,0
dbf78,1,0,4,0,0,0,0
f4c66,4,0,4,0,0,0,0
f4982,1,0,43,0,0,0,0
dc20a,2,0,4,0,0,0,0
f4c58,0,0,2,0,0,0,0
dc1f0,1,0,4,0,0,0,0
dc1bc,0,0,4,0,0,0,0
dbf80,0,0,4,0,0,0,0
c9b72,2,0,1,0,0,0,0
ca276,0,0,1,0,0,0,0
ca1fe,1,0,1,0,0,0,0
ca1fc,0,0,1,0,0,0,0
10d12e,0,0,4,0,0,0,0
c9d54,2,0,1,0,0,0,0
c9b8a,0,0,1,0,0,0,0
c9b82,2,0,1,0,0,0,0
c9b7a,0,0,1,0,0,0,0
ca282,2,0,1,0,0,0,0
10d156,0,0,4,0,0,0,0
c9ac2,0,0,1,0,0,0,0
c9aba,2,0,1,0,0,0,0
10d15a,0,0,4,0,0,0,0
10d168,1,0,2,0,0,0,0
c995e,0,0,1,0,0,0,0
10d328,0,0,4,0,0,0,0
c9220,1,0,1,0,0,0,0
ca8e6,4,0,1,0,0,0,0
d4ae2,4,0,38,0,0,0,0
d4b44,0,0,7,0,0,0,0
d4b5e,4,0,7,0,0,0,0
10d11e,0,0,4,0,0,0,0
d8f98,1,0,3,0,0,0,0
d8fe6,0,0,3,0,0,0,0
10d10c,2,0,4,0,0,0,0
10d0fa,0,0,4,0,0,0,0
d8fec,0,0,3,0,0,0,0
d8ff4,0,0,3,0,0,0,0
d9026,0,0,3,0,0,0,0
d902e,0,0,3,0,0,0,0
10cfb4,4,0,3,0,0,0,0
10cf64,0,0,3,0,0,0,0
c8e9e,2,0,1,0,0,0,0
4404a,0,0,20,0,0,0,0
11326c,4,0,3,0,0,0,0
c8e10,0,0,5318,0,0,0,0
c8e16,0,0,5319,0,0,0,0
c8e1a,0,0,5319,0,0,0,0
c8e22,0,0,5319,0,0,0,0
113258,0,0,3,0,0,0,0
113244,2,0,3,0,0,0,0
c8e2c,0,0,5319,0,0,0,0
113238,2,0,3,0,0,0,0
c8e6a,4,0,1,0,0,0,0
11320a,2,0,3,0,0,0,0
10df5c,0,0,4,0,0,0,0
10df54,0,0,4,0,0,0,0
10df50,0,0,4,0,0,0,0
d904a,0,0,3,0,0,0,0
10df46,0,0,4,0,0,0,0
c907e,0,0,1,0,0,0,0
c908c,0,0,1,0,0,0,0
10df36,0,0,4,0,0,0,0
10de18,1,0,4,0,0,0,0
